gene,Healthy_mean,Healthy_var,Healthy_min,Healthy_max,UC_inflamed_mean,UC_inflamed_var,UC_inflamed_min,UC_inflamed_max,UC_non_inflamed_mean,UC_non_inflamed_var,UC_non_inflamed_min,UC_non_inflamed_max,Colitis_inflamed_mean,Colitis_inflamed_var,Colitis_inflamed_min,Colitis_inflamed_max,CD_inflamed_mean,CD_inflamed_var,CD_inflamed_min,CD_inflamed_max
KANK1,0.0064670327,0.010899336,0.0,2.7229226,0.0051201633,0.008735651,0.0,2.3323696,0.009740503,0.016118448,0.0,2.4591775,0.0062861885,0.009423597,0.0,2.5597956,0.0055578854,0.005567011,0.0,1.1993725
DMRT2,0.0,0.0,0.0,0.0,0.00021253452,0.0004214426,0.0,1.9831597,0.0004220433,0.00067858916,0.0,1.7984574,0.0003261886,0.0006547907,0.0,2.3357363,0.0,0.0,0.0,0.0
SMARCA2,0.18273525,0.25792322,0.0,3.6470125,0.1718286,0.25646937,0.0,3.3529243,0.08577124,0.14790416,0.0,3.038826,0.29807377,0.39320076,0.0,3.8816862,0.30649397,0.35530502,0.0,3.0844324
VLDLR,0.0030345214,0.0051907185,0.0,2.600378,0.0031755902,0.005546428,0.0,2.390654,0.002891329,0.0049718246,0.0,2.339964,0.002466377,0.003153592,0.0,1.9753652,0.004210927,0.0045465766,0.0,1.3170087
RFX3,0.049015597,0.073626675,0.0,3.3489397,0.04117676,0.064722165,0.0,2.8272102,0.017606784,0.029651789,0.0,2.455274,0.082697205,0.12238655,0.0,3.093432,0.069342144,0.0921074,0.0,2.8072438
GLIS3,0.004122363,0.00627924,0.0,2.5764725,0.005849724,0.010256634,0.0,2.57032,0.0037036666,0.0066756997,0.0,2.451389,0.0105280895,0.015739491,0.0,2.8264625,0.0024428077,0.0037025253,0.0,2.1271577
GLIS3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC1A1,0.0,0.0,0.0,0.0,0.0009581014,0.0015674282,0.0,2.0865614,0.000366465,0.0005649774,0.0,1.85532,0.00045575533,0.00066666334,0.0,1.9587042,0.0,0.0,0.0,0.0
SPATA6L,0.0051852525,0.0085446155,0.0,2.454301,0.004589015,0.0077559142,0.0,2.256228,0.0053553497,0.008741382,0.0,2.160399,0.0024832876,0.0035807602,0.0,2.4572234,0.0041468516,0.0063604056,0.0,2.4350743
CDC37L1,0.11405709,0.16925316,0.0,3.190889,0.1289627,0.19076551,0.0,3.0341063,0.06870267,0.117756814,0.0,2.960883,0.1884091,0.25458038,0.0,3.4659781,0.20575437,0.22582717,0.0,3.7174826
AK3,0.104776435,0.15637961,0.0,3.2078066,0.11852029,0.18329793,0.0,3.897164,0.09354219,0.15976624,0.0,3.1334877,0.16047788,0.2156851,0.0,3.6295872,0.16097832,0.17835893,0.0,2.7595606
RCL1,0.052338213,0.08191825,0.0,3.1515117,0.043775864,0.065153114,0.0,2.7242525,0.034662172,0.057606418,0.0,2.528447,0.063272946,0.08936134,0.0,3.0163913,0.057386152,0.06926719,0.0,2.7948995
JAK2,0.030060444,0.044159535,0.0,2.8257155,0.02974572,0.047043223,0.0,2.6478302,0.013211105,0.02285283,0.0,2.326511,0.054017242,0.07755301,0.0,2.8499343,0.07389227,0.0927676,0.0,2.563105
INSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RLN2,0.013004121,0.019653557,0.0,2.6393359,0.010682596,0.016699329,0.0,2.6297293,0.014530949,0.024339197,0.0,2.6393359,0.012962804,0.017790316,0.0,2.563105,0.0097807385,0.011655914,0.0,1.8907442
RLN1,0.008922755,0.013197558,0.0,2.2232423,0.0059111947,0.008856261,0.0,2.1734056,0.006123847,0.010390683,0.0,2.4829838,0.01280893,0.018314471,0.0,2.3140955,0.005994258,0.0064449543,0.0,1.3904337
PLGRKT,0.14780447,0.22970127,0.0,3.5296664,0.15563196,0.23319231,0.0,3.1086311,0.14356083,0.23531422,0.0,2.990003,0.15222074,0.19265582,0.0,2.7798843,0.14522864,0.15030389,0.0,2.7581758
CD274,0.008387376,0.013491092,0.0,2.7905834,0.012390492,0.019599022,0.0,2.7032104,0.006634943,0.011636903,0.0,2.3298538,0.013000904,0.018577326,0.0,2.9731224,0.025353199,0.032652266,0.0,2.3745885
PDCD1LG2,0.0014440893,0.0021852506,0.0,2.2930114,0.0039995965,0.0060554743,0.0,2.2795138,0.0014653871,0.0024628448,0.0,2.1356666,0.0034199725,0.004976923,0.0,2.4275053,0.0027367156,0.0030203916,0.0,1.4792906
