gene,cell_type,KW_p,KW_FDR,effect_size,effect_size_class,disease_1,disease_2,mw_stat,mw_p,n1,n2,mw_FDR
SELL,CD8T,0.0,0.0,0.34573964,medium,UC_inflamed,Colitis_inflamed,68428521.5,1.9311491119712768e-11,11609,12212,7.336216551468938e-11
BTG2,CD8T,0.0,0.0,0.6983805999999999,high,UC_inflamed,UC_non_inflamed,52951297.0,0.0,11609,6890,0.0
BTG2,CD8T,0.0,0.0,0.6983805999999999,high,UC_inflamed,Colitis_inflamed,76142452.0,1.9664081536497923e-24,11609,12212,1.2336009393319535e-23
BTG2,CD8T,0.0,0.0,0.6983805999999999,high,Healthy,UC_inflamed,131213050.5,3.4611374910654695e-19,23962,11609,1.809734076608207e-18
BTG2,CD8T,0.0,0.0,0.6983805999999999,high,UC_inflamed,CD_inflamed,12504173.5,1.0753424374674424e-10,11609,1979,3.9347457525817134e-10
PPP1R15B,CD8T,0.0,0.0,0.335755034,medium,UC_inflamed,UC_non_inflamed,47392380.0,5.0825833324361886e-247,11609,6890,7.2438057140606036e-245
PPP1R15B,CD8T,0.0,0.0,0.335755034,medium,UC_inflamed,Colitis_inflamed,77592912.0,2.0579153901082546e-81,11609,12212,4.7353518156441546e-80
PPP1R15B,CD8T,0.0,0.0,0.335755034,medium,Healthy,UC_inflamed,128486457.5,7.257855841376808e-70,23962,11609,1.358370346605154e-68
PPP1R15B,CD8T,0.0,0.0,0.335755034,medium,UC_inflamed,CD_inflamed,10819293.5,2.3727786437568665e-08,11609,1979,7.632797374953428e-08
ZFP36L2,CD8T,0.0,0.0,1.0238751,high,UC_inflamed,Colitis_inflamed,43111266.5,0.0,11609,12212,0.0
ZFP36L2,CD8T,0.0,0.0,1.0238751,high,UC_inflamed,CD_inflamed,6436191.0,6.0909015187054605e-220,11609,1979,7.062200788966988e-218
ZFP36L2,CD8T,0.0,0.0,1.0238751,high,Healthy,UC_inflamed,167115712.5,3.1482395711629555e-212,23962,11609,3.4444564058138187e-210
ZFP36L2,CD8T,0.0,0.0,1.0238751,high,UC_inflamed,UC_non_inflamed,38108075.5,5.263132522059422e-08,11609,6890,1.6597533325963137e-07
