gene,effect_size,effect_size_class
RNF186,0.0030395645,low
OTUD3,0.027842588,low
PLA2G2A,0.07387119,low
PLA2G5,0.0063663507,low
PLA2G2D,0.0019361402,low
PLA2G2F,0.0,low
PLA2G2C,0.00053518306,low
UBXN10,0.0072393455,low
CAMK2N1,0.27553707,medium
MUL1,0.03179831,low
CDA,0.019086817,low
PINK1,0.12034880000000002,low
PINK1-AS,0.0058363737,low
DDOST,0.20715639000000002,low
KIF17,0.0023007842,low
HP1BP3,0.30587525,medium
EIF4G3,0.10701721,low
ECE1,0.26873024999999995,medium
NBPF3,0.064654092,low
ALPL,0.059015799,low
RAP1GAP,0.010174729,low
USP48,0.07778122999999998,low
LDLRAD2,0.0021282996,low
HSPG2,0.22215657000000003,low
CELA3B,6.432794e-05,low
CELA3A,3.2799795e-05,low
CDC42,0.3098716600000001,medium
WNT4,0.23419647,low
ZBTB40,0.056525713000000005,low
C1QA,0.041906655,low
C1QC,0.020392518,low
C1QB,0.03878822,low
EPHB2,0.04795448199999999,low
KDM1A,0.11734881999999999,low
LUZP1,0.09393705999999999,low
HTR1D,0.0012567857,low
HNRNPR,0.30574343000000004,medium
ZNF436,0.045781225999999994,low
TCEA3,0.10331251500000001,low
ASAP3,0.05929623199999999,low
E2F2,0.0057069426,low
ID3,0.30014720000000006,medium
MDS2,0.0020625135,low
RPL11,0.8459878000000001,high
PITHD1,0.118465776,low
LYPLA2,0.030856765999999994,low
GALE,0.030182193999999996,low
HMGCL,0.07046577999999999,low
FUCA1,0.030398327000000003,low
CNR2,0.0052924417,low
PNRC2,0.49680914499999995,medium
SRSF10,0.59826793,high
MYOM3,0.000903908,low
IL22RA1,0.01798317765,low
IFNLR1,0.0008641124,low
GRHL3,0.00018209778,low
STPG1,0.02844614,low
NIPAL3,0.014989634999999998,low
RCAN3,0.029891797,low
NCMAP,0.0023537402,low
SRRM1,0.29864083999999996,medium
CLIC4,0.10158501,low
RUNX3,0.009933073,low
SYF2,0.30050530999999997,medium
RHD,0.00084530987,low
TMEM50A,0.26726074,medium
RHCE,0.0018426805,low
LDLRAP1,0.052264715,low
MAN1C1,0.105878898,low
MTFR1L,0.10532503000000001,low
AUNIP,0.0068352395,low
PAQR7,0.042751291,low
STMN1,1.33114465,high
PAFAH2,0.02256123,low
SLC30A2,0.0020371114,low
TRIM63,0.0004913803,low
PDIK1L,0.02864561,low
FAM110D,0.006764477,low
ZNF593,0.16758358999999998,low
CNKSR1,0.007835451,low
CEP85,0.016077314,low
SH3BGRL3,0.6944209,high
UBXN11,0.019537866,low
CD52,0.13361458399999998,low
ZNF683,0.009137084,low
LIN28A,0.00039405015,low
DHDDS,0.042001226,low
HMGN2,0.8089404,high
RPS6KA1,0.033470288,low
ARID1A,0.12614839,low
PIGV,0.034194775,low
ZDHHC18,0.04724110699999999,low
SFN,0.012994754,low
GPN2,0.01629228199999999,low
GPATCH3,0.036038876000000004,low
NUDC,0.21647351999999997,low
NR0B2,0.0008652136,low
TRNP1,0.027635803,low
SLC9A1,0.097841985,low
WDTC1,0.07160715000000001,low
TMEM222,0.03257165399999999,low
SYTL1,0.017230764,low
MAP3K6,0.037165571,low
FCN3,0.0063547962,low
CD164L2,0.00018010284,low
GPR3,0.022963336,low
WASF2,0.37460295,medium
AHDC1,0.212206214,low
FGR,0.0031536955,low
IFI6,1.3764081000000001,high
FAM76A,0.02579007,low
STX12,0.11375568999999999,low
PPP1R8,0.09488924700000001,low
THEMIS2,0.056699529,low
RPA2,0.19110233,low
SMPDL3B,0.0012902608,low
XKR8,0.019884497,low
EYA3,0.032576092,low
PTAFR,0.004804499,low
DNAJC8,0.19414283999999998,low
SESN2,0.051330967000000005,low
MED18,0.025372317,low
PHACTR4,0.14385521500000004,low
RCC1,0.048039674,low
TRNAU1AP,0.09283102000000001,low
SNHG12,0.2530409,medium
TAF12,0.18186561,low
