gene,effect_size,effect_size_class
FAF1,0.073434034,low
CDKN2C,0.017474832999999995,low
RNF11,0.2211893,low
TTC39A,0.0019599032,low
EPS15,0.16413652,low
OSBPL9,0.11314762,low
RAB3B,0.0041731875,low
TXNDC12,0.09907177,low
KTI12,0.033485585,low
BTF3L4,0.09842106,low
ZFYVE9,0.008987001599999999,low
CC2D1B,0.045415609999999995,low
ORC1,0.0024571679000000004,low
PRPF38A,0.08983163,low
GPX7,0.035510429999999996,low
ZYG11B,0.036896794000000004,low
ZYG11A,0.00046352488,low
ECHDC2,0.12031151400000001,low
SCP2,0.05098617,low
PODN,0.00041441282,low
SLC1A7,0.0002816597,low
CPT2,0.016106333999999996,low
MAGOH,0.21791524,low
LRP8,0.0079937083,low
GLIS1,0.0003941248,low
NDC1,0.029584109,low
YIPF1,0.027584824999999993,low
HSPB11,0.05002916000000002,low
LRRC42,0.022544971,low
TMEM59,0.16693426,low
TCEANC2,0.029292148000000004,low
CYB5RL,0.0054367898,low
MRPL37,0.06488447000000001,low
SSBP3,0.01921825399999999,low
ACOT11,0.0012439111,low
FAM151A,0.0,low
MROH7,0.0005024644,low
TTC4,0.041974376,low
PARS2,0.0032296448999999997,low
TTC22,0.01096696,low
DHCR24,0.0096531514,low
TMEM61,0.0002705356,low
BSND,0.0,low
PCSK9,0.0,low
USP24,0.067246922,low
PRKAA2,0.004802933,low
DAB1,0.0009681817999999999,low
OMA1,0.027343720000000002,low
TACSTD2,0.00090942316,low
MYSM1,0.068199342,low
JUN,0.20528309999999994,low
FGGY,0.0129242886,low
HOOK1,0.029943334999999998,low
CYP2J2,0.0019447957,low
NFIA,0.031260453,low
TM2D1,0.025266700000000003,low
L1TD1,0.0040901923,low
KANK4,0.00016219636,low
USP1,0.09039740000000002,low
DOCK7,0.0071514453999999995,low
ATG4C,0.018941588000000002,low
FOXD3,0.0,low
ALG6,0.044730009999999994,low
ITGB3BP,0.022361196,low
EFCAB7,0.017773447999999997,low
PGM1,0.08452449000000001,low
ROR1,0.00342930223,low
CACHD1,0.006277352,low
RAVER2,0.0022627544,low
JAK1,0.5483997200000001,high
AK4,0.00125063874,low
DNAJC6,0.0009888913599999999,low
LEPROT,0.02369175500000001,low
LEPR,0.0014230352000000005,low
PDE4B,0.45962022,medium
SGIP1,0.0007332403700000001,low
TCTEX1D1,0.00023562837,low
INSL5,0.0002989939,low
WDR78,0.006279383300000001,low
MIER1,0.26270536,medium
SLC35D1,0.047910817999999994,low
IL23R,0.075093486,low
IL12RB2,0.089818188,low
SERBP1,0.3219449000000001,medium
GADD45A,0.08375069000000002,low
GNG12,0.0014034293,low
GNG12-AS1,0.0,low
DIRAS3,0.0029804594999999997,low
WLS,0.0011947106,low
DEPDC1,0.00364711197,low
LRRC7,0.007868079,low
LRRC40,0.04200545800000001,low
SRSF11,0.41292803,medium
ANKRD13C,0.118764994,low
HHLA3,0.021396807,low
CTH,0.0494845976,low
PTGER3,0.00022863333,low
ZRANB2,0.24127081000000003,low
NEGR1,0.0014650552,low
LRRIQ3,0.0035109383,low
FPGT,0.014589913000000003,low
CRYZ,0.044517842,low
TYW3,0.041189100000000006,low
SLC44A5,0.0012824467,low
ACADM,0.03501875,low
RABGGTB,0.18530734000000001,low
ST6GALNAC3,0.0135021184,low
ST6GALNAC5,0.0026455314,low
PIGK,0.018958307,low
AK5,0.018618062,low
USP33,0.14576144,low
NEXN-AS1,0.001538518,low
NEXN,0.0016052068,low
FUBP1,0.12209149,low
DNAJB4,0.12874408999999998,low
GIPC2,0.0015385974,low
PTGFR,0.00019433406,low
IFI44L,0.522690538,high
IFI44,0.19540387599999998,low
TTLL7,0.010558108,low
PRKACB,0.24858336,low
SAMD13,0.0018402904,low
DNASE2B,0.0,low
RPF1,0.017195440000000006,low
GNG5,0.33868755,medium
CTBS,0.169358596,low
SSX2IP,0.021465414000000002,low
LPAR3,0.0009029143,low
MCOLN2,0.075046076,low
WDR63,0.0051652828,low
MCOLN3,0.01013480925,low
SYDE2,0.0042077863,low
C1orf52,0.18613848000000002,low
BCL10,0.150659248,low
DDAH1,0.0022493352,low
ZNHIT6,0.020427904000000004,low
