gene,H_statistic,p_value,FDR
TMEM47,1142.9067742306254,1.7876079174918024e-247,1.6961565124445085e-245
POLR2J3,1142.086726940169,2.6926982428533625e-247,2.5394592337600713e-245
RPS4Y1,1132.4613015697942,3.2997999806801114e-245,3.093264307190555e-243
EIF1,1131.842632241572,4.494811686539591e-245,4.1882493804935673e-243
RPS15,1129.4160835968457,1.5106526844670518e-244,1.3992420489876067e-242
CTSS,1128.9761835301424,1.8819291449032765e-244,1.732822451114786e-242
NREP,1126.6276606176355,6.083130779354898e-244,5.568211650443621e-242
ABI3BP,1124.8516967279957,1.4771712553565142e-243,1.3442258423744278e-241
FST,1120.6611152090247,1.198381291340158e-242,1.0841867020083838e-240
ITPR1,1119.3313118154979,2.3286316305678182e-242,2.0945570406512036e-240
RPL26,1116.828336912936,8.13073187638946e-242,7.271397628074505e-240
NKAIN4,1113.691257931438,3.8969781492438515e-241,3.465192970307633e-239
ASCL1,1112.8861172575012,5.8264669197845454e-241,5.151457485157233e-239
RPLP1,1111.0430249441617,1.4630811586126925e-240,1.2862715202922096e-238
BEX2,1110.157784098815,2.276791446329965e-240,1.9904017806932913e-238
APOL3,1105.6398317356366,2.1752051343346495e-239,1.8909702287922614e-237
HSP90AB1,1104.0685580508382,4.76858694621086e-239,4.1224434149992884e-237
CRABP1,1095.6992180954112,3.119747438119157e-237,2.682120988097912e-235
PAFAH1B3,1092.5437015329726,1.509058328987506e-236,1.2902448712843178e-234
RPS19,1092.137756929465,1.8483117595509648e-236,1.5716709994739104e-234
ISG15,1090.707133639083,3.777000246210582e-236,3.1942337408305904e-234
FCGR2B,1087.8108375137847,1.6050678537125876e-235,1.3500789660335987e-233
GFRA3,1086.2782818733012,3.4512629176674136e-235,2.887371089345302e-233
CTSD,1078.2479082108262,1.9060893855813294e-233,1.5861313865792014e-231
YBX1,1077.8516799222664,2.3232903018210195e-233,1.9230170418423875e-231
TIMP4,1073.7861922899815,1.770491431936573e-232,1.457704612294445e-230
EIF3L,1071.561176750003,5.380222422861642e-232,4.4064021643236845e-230
PDPN,1071.3536184260092,5.9680020130109786e-232,4.8622031059928715e-230
GNAS,1071.2423600552777,6.309078042492151e-232,5.11331059475106e-230
TNFRSF12A,1058.894880061118,3.0107478339753872e-229,2.427473940129067e-227
BEX1,1056.242695411857,1.1325188092669319e-228,9.084085150001405e-227
TPT1,1055.5030995307443,1.638682490177008e-228,1.3076686271612524e-226
KIF21A,1041.715428690372,1.6054608421173796e-225,1.2746212328667624e-223
H1FX,1031.9704603942707,2.0876404654022706e-223,1.6490240244733366e-221
PPIA,1024.7061805520877,7.862181241919166e-222,6.1789597123991986e-220
FOSB,1023.6255760615942,1.3488531401630937e-221,1.0547489303556734e-219
PTMS,1022.203987539742,2.7438319070342214e-221,2.134838415267976e-219
LINC00682,1021.2451766708589,4.429526031984526e-221,3.42924649670205e-219
IFITM2,1020.4819037955639,6.485415708604204e-221,4.996017516910397e-219
RPL23,1019.4260714421308,1.09896675662483e-220,8.424148620610335e-219
RPS28,1017.6787712961733,2.6304750080235286e-220,2.0065108627379473e-218
CD63,1017.5565579266325,2.7960597528417173e-220,2.122413942144876e-218
RPL36,1011.3916546975546,6.080246314335713e-219,4.5929472280280605e-217
FXYD6,1010.7241050859384,8.486617745301444e-219,6.379722644185304e-217
EGFL8,1005.5135021705839,1.1457306982400866e-217,8.571497786208647e-216
PRSS23,1004.4301222345845,1.968348025465125e-217,1.4655245753235793e-215
FSCN1,1002.0977897154023,6.310411082603153e-217,4.676014612208937e-215
CIITA,994.3290203907749,3.05729859938027e-215,2.254721493125895e-213
TMSB15A,993.8944206960016,3.7985272061435765e-215,2.7881548044717074e-213
CXCL9,992.2857757559434,8.483538098625154e-215,6.197762270080095e-213
