gene,H_statistic,p_value,FDR
HMGN4,701.976946872273,1.3006822599057901e-150,1.2457645644875456e-148
C1orf56,699.7966188129527,3.857236549749074e-150,3.670386000001489e-148
IL4I1,699.3115949655278,4.91244398566171e-150,4.644319623605594e-148
MYO1F,698.9450260499323,5.897527559422655e-150,5.5398954394730505e-148
JUNB,697.8696909139732,1.0081131148267421e-149,9.409483811892407e-148
CAPG,697.3957859951922,1.2767981227008205e-149,1.184189853801128e-147
ZNF331,695.5376509312382,3.224450996142774e-149,2.9717676036148564e-147
RPL35,690.3874327506351,4.203325005682581e-148,3.8497202895795335e-146
SCML4,688.9198137946355,8.736970095455304e-148,7.952270793714413e-146
RPL38,687.967109279626,1.4048784386323924e-147,1.2708079407233998e-145
NAMPT,685.2309735437149,5.496135228197244e-147,4.941126726012418e-145
LITAF,683.9021371014599,1.0660314265269704e-146,9.52538080751599e-145
OASL,681.1726895725453,4.156524538823769e-146,3.6914976116317283e-144
TIPARP,681.0418610654791,4.436660756046933e-146,3.916555826452515e-144
RPL22L1,680.6296214391069,5.44892372524184e-146,4.781348998185265e-144
YES1,680.4516247826697,5.954550102074531e-146,5.193927214035725e-144
CD55,677.6934432125752,2.355166851858916e-145,2.0421665708367192e-143
NFE2L2,675.1099605301389,8.538153114433297e-145,7.359887984641502e-143
TAGAP,675.0585150141482,8.759961399531296e-145,7.506928324487229e-143
RANBP2,667.0341807209743,4.783946857397327e-143,4.075811467924444e-141
RPL34,666.114844727978,7.565200387129702e-143,6.408118293236917e-141
CCNH,665.9744316636493,8.113709668676647e-143,6.833235717516528e-141
HSPH1,665.2368637931173,1.1719267966907307e-142,9.813380159260554e-141
IL23R,663.3284887284906,3.034275093507527e-142,2.5263788193329146e-140
FASLG,663.2042563568986,3.2281266745256706e-142,2.672597078446281e-140
PDE4B,662.0895117811805,5.627116147224005e-142,4.632570787720256e-140
MT-CO3,658.2716141394285,3.7742253216109343e-141,3.0898043498819347e-139
EML4,657.89014889278,4.564686629256685e-141,3.716162103618193e-139
HSPD1,653.3559926769784,4.375181866275076e-140,3.542205252397512e-138
CHD1,650.8797074392373,1.5033860384180752e-139,1.210473571812004e-137
SAMSN1,649.973132087482,2.362258267449151e-139,1.8916138060764948e-137
CD83,649.75653931358,2.631574075776076e-139,2.0958199188273162e-137
RPL9,647.3881192607812,8.56900548491777e-139,6.787578723026216e-137
TNFRSF25,645.7063028095961,1.9815544352805352e-138,1.5611665964839228e-136
SDCBP,642.8030133387504,8.423571000908293e-138,6.601016547984499e-136
AQP3,641.9517316046246,1.287585204582941e-137,1.0036315738275752e-135
IGLV2-14,641.8760828489093,1.3370630098866585e-137,1.0366836691470421e-135
XCL1,640.9979747049609,2.0712758739242832e-137,1.5974987713940234e-135
YPEL5,636.6810543566788,1.781228839879113e-136,1.3666035298213885e-134
IGKV3-20,636.005477373062,2.4943636551357614e-136,1.903771093872888e-134
NCR2,630.139288776604,4.642744826776084e-135,3.5251182741749606e-133
NFKBID,629.5734317147986,6.155455320949985e-135,4.649589807896963e-133
CCNI,625.2661409753338,5.267499178883898e-134,3.958458100890495e-132
GABARAPL1,624.153941245263,9.169483057134623e-134,6.855592077512794e-132
IRF7,623.7985498277251,1.0946380795858026e-133,8.142551481345357e-132
CYTIP,622.4067226533303,2.190458354337638e-133,1.6211604406294821e-131
ELL2,618.8498299951913,1.2895061686682797e-132,9.495690148575363e-131
CYP51A1,615.4631655660588,6.973531217820086e-132,5.109506323296777e-130
DDX39B,612.8710359768094,2.5380461721762993e-131,1.8503745575657457e-129
B3GNT5,611.8967566522654,4.1245150150322183e-131,2.9921110411030754e-129
MATR3,611.6938034912492,4.563520514975276e-131,3.2942773214998863e-129
IFNGR1,611.0079085810419,6.423245685435984e-131,4.614031484038182e-129
IFRD1,609.0920789596053,1.6688304950582379e-130,1.192928881686996e-128
BTG1,609.0140360122913,1.7350163441693363e-130,1.234219879002789e-128
HIST2H2AA4,608.1571400161259,2.6592960134797266e-130,1.882576028093329e-128
ARL4C,607.4001352046922,3.8780110054550105e-130,2.732133330477775e-128
RGCC,606.9825843800309,4.775087932156472e-130,3.348044907072772e-128
RPS27,602.5481713681609,4.3523915969628675e-129,3.0371403077092316e-127
RPS6,601.975863794954,5.788841323543372e-129,4.02036401683434e-127
HSPA1A,601.238015110416,8.361468734158768e-129,5.77966805803597e-127
GZMM,600.8006432741493,1.0397804857690127e-128,7.153494478149818e-127
PVRIG,599.8124529161361,1.7014215735722476e-128,1.1650762494919494e-126
UBB,595.9386551937772,1.1727133872806963e-127,7.992996268470383e-126
SERTAD1,594.8137016727384,2.054256127176342e-127,1.3936606151686163e-125
HBP1,593.8941476851895,3.2483553880791772e-127,2.1936128966319014e-125
RPL37A,593.5345793838163,3.885801981266195e-127,2.6120432217190285e-125
RPL15,587.9227840371965,6.367291429852158e-126,4.2605611238837226e-124
RPL7A,586.9303647322376,1.0440579838227102e-125,6.954375315880906e-124
RPS3A,586.6122538460913,1.2233954820376741e-125,8.1120531193575e-124
HSPE1,583.4731896595215,5.846335211829525e-125,3.859107936673417e-123
C18orf32,583.3328908013606,6.269676588343483e-125,4.11999285764957e-123
MRPS24,580.8344614485756,2.177280954678782e-124,1.4243694245474496e-122
MAPRE2,580.6325222592682,2.4077673002215914e-124,1.56815208966432e-122
KIR2DL4,580.2792562695951,2.8711894037864496e-124,1.8616995364197625e-122
FOSL2,578.4918694657828,6.996047961981391e-124,4.516303384796269e-122
FXYD5,578.051810648331,8.711260113946047e-124,5.598894987270411e-122
ARHGAP9,577.3208127131356,1.2539133061206926e-123,8.023950038381061e-122
CD3E,576.5940427421921,1.8011025102907756e-123,1.1475372254696098e-121
TNFSF13B,576.3383303321581,2.0458495593016744e-123,1.2978302788747506e-121
ISG20,575.279619019251,3.46716239411328e-123,2.189991281178276e-121
IGFLR1,574.6475499112524,4.750621967081289e-123,2.987794605390953e-121
AHR,574.2654036583708,5.747044676264167e-123,3.5990253284604744e-121
VCP,573.3843630241696,8.914471973236899e-123,5.558837118970788e-121
PCBP2,573.0428319121975,1.056818243372581e-122,6.562124804399068e-121
LCP2,571.9985489103261,1.7781732580846605e-122,1.0994662837119247e-120
LDLRAD4,571.9821011384969,1.7928056744153602e-122,1.1038560652471717e-120
ELOVL5,571.2825803257575,2.5404030673356345e-122,1.5576178472274637e-120
GZMH,569.4955244724865,6.188721858498424e-122,3.7787304214348295e-120
NFKB1,566.4218407530499,2.862205597767249e-121,1.7403635199037867e-119
PDCD4,565.7181782090017,4.064070663040665e-121,2.4609459295949549e-119
NDEL1,562.3065473387359,2.2241791736847472e-120,1.3412807247397649e-118
IKZF3,562.2458054769836,2.292519020843299e-120,1.3768267922720369e-118
JMJD6,561.9542098922853,2.6509871833575125e-120,1.5856149463233055e-118
RBM4,561.578654082526,3.196459664620306e-120,1.9041024359896732e-118
PABPC1,561.5304519793248,3.274153498257108e-120,1.9424876665368284e-118
SNHG12,560.3399382657357,5.9251226382676914e-120,3.5010785137570467e-118
CD38,559.6586187218234,8.31988841549784e-120,4.896371278743187e-118
NR4A3,558.8201997224327,1.2633657365271364e-119,7.405344601227462e-118
ZFY,556.3107391428181,4.410662927634058e-119,2.5750539657987846e-117
RPP21,555.8380691103009,5.581809751966047e-119,3.245866670845653e-117
MAP1LC3A,555.3510581553171,7.114572286891963e-119,4.120827758581613e-117
LMNB1,555.2090130302456,7.636296909447584e-119,4.405602161852161e-117
GPR35,555.1514021446268,7.858649980992727e-119,4.516104189077154e-117
JUND,551.5117004703524,4.817843631239853e-118,2.757839084851125e-116
HSPA8,546.579610302671,5.622834855631237e-117,3.2061098044521457e-115
GPI,545.8619982270352,8.039227636038314e-117,4.566156658081607e-115
STX11,545.6179350310066,9.078591225355932e-117,5.136589799859685e-115
RAB8B,542.5366345849427,4.2137017442820716e-116,2.374907129258057e-114
HSP90AA1,542.0059231714367,5.488868630275909e-116,3.0817578891978227e-114
GADD45B,540.2994913303189,1.2842967142764821e-115,7.183238187407469e-114
NFKB2,539.1102179445564,2.322519364840703e-115,1.2909398766540122e-113
MT-ND3,539.1074704204923,2.3257003373594866e-115,1.2909398766540122e-113
NDUFV2,537.5617366486092,5.023000180414133e-115,2.7776243261807064e-113
IGHA1,535.9063722953974,1.1457412287234654e-114,6.311914272824685e-113
RORC,535.217982492391,1.6144044275313046e-114,8.860480329978927e-113
PTGER4,530.3051911709932,1.865613092021724e-113,1.020100531734565e-111
RPL28,530.1016746636914,2.0646600430376766e-113,1.124740827906101e-111
