gene,H_statistic,p_value,FDR
CPT1C,4.286502625580306,0.3686182959523144,0.39277270132172826
SLC28A2,4.282954778876057,0.36906437432915695,0.39322185083683275
LINC00853,4.278290751595578,0.36965143451932864,0.3938211405278759
CCL17,4.264511778330709,0.37139005300531497,0.39564712198111934
ENDOU,4.2595688724497665,0.37201529712146914,0.39628684583629764
PLA2G15,4.255506104481908,0.37252982391441863,0.39680855154866285
ASPHD2,4.253837635906264,0.37274128665434386,0.3970073938251513
P2RY2,4.249132970534871,0.3733380623558797,0.3976165798759309
PLGLB1,4.24040258727455,0.3744474610807753,0.39877160798741873
SH2D7,4.226601078421529,0.37620649062613665,0.4006182674262902
GLB1L,4.219885341008185,0.37706474140823387,0.4015055154325011
NUP210L,4.21783625182261,0.37732691085937214,0.40175796923715773
SULT2A1,4.212172527095052,0.3780522875751468,0.40250355557638434
FOCAD,4.20183410424799,0.379379156475835,0.4038893950995978
PLAC8L1,4.188381323710827,0.3811111216488487,0.4057062897414336
RHBDL1,4.184594772801014,0.3815997170091048,0.4061843777528205
UBXN10,4.184507796300323,0.38161094564677794,0.4061843777528205
C6orf47-AS1,4.183223230244595,0.38177681238872546,0.40633392278757496
KCNA7,4.176305892634679,0.3826709543318694,0.4072585166467476
ACO2,4.163915907837433,0.384276528376516,0.4089400807259755
ALDH1L1,4.157424200918175,0.38511983240483183,0.40981028139969383
DSG3,4.13707003024466,0.3877731554687193,0.4126062998168124
TGM4,4.1362904749537135,0.3878750545296798,0.4126873089146992
ACVR1C,4.1312414298446205,0.3885355339281882,0.4133377816318454
WNT10A,4.131222354503129,0.38853803085778016,0.4133377816318454
KSR2,4.125812252705984,0.38924669982804233,0.4140376869406229
TOX3,4.12580506119234,0.3892476425018355,0.4140376869406229
ZNF837,4.12456030121754,0.3894108337154466,0.41418376543066
XKR9,4.121284603162727,0.3898405361398899,0.41461327140455617
KLC3,4.119366951010092,0.39009225979104384,0.4148534443312628
NOD2,4.113248288604933,0.3908962661538669,0.41568088533969505
HAS3,4.1028572571660895,0.3922645694369971,0.4171082525839729
SLC4A5,4.098181475022245,0.3928814721493707,0.41773649358845394
ARMC7,4.0945276114772255,0.39336406155737086,0.41822185024655884
HNF4G,4.093252727385146,0.39353254993291054,0.4183732146737972
YTHDF3-AS1,4.0814420228831585,0.3950960617561314,0.42000754105979665
TRAV38-2DV8,4.076984592839641,0.39568736606954596,0.42060821226014855
SSUH2,4.075716434391524,0.3958557174886117,0.4207592426182954
ACTA1,4.067988365601473,0.39688281459423863,0.4218229622664844
NPIPB6,4.065441711361425,0.39722171944520734,0.422155150975641
APLN,4.062636758584338,0.3975952520775232,0.42252409451470874
AC007292.3,4.057800588771229,0.3982399046109795,0.4231810888445604
HEPN1,4.0567901093286425,0.39837469956150656,0.42326816337490225
LHFPL1,4.0567901093286425,0.39837469956150656,0.42326816337490225
P2RY13,4.056475261410685,0.3984167063930125,0.4232847165227435
C10orf67,4.0557341894080805,0.3985155930338635,0.423361693548013
TTC34,4.042478885931048,0.40028748232918065,0.42521585120483396
ATF6,4.039419698017645,0.40069726026928,0.4256229204677404
TBL3,4.0352610338814285,0.40125482064129225,0.4261869006771603
C15orf62,4.0299372709114625,0.40196944200528895,0.4269176150519669
TPRG1-AS1,4.028642142455005,0.4021434351774579,0.4270740883992404
ZNF763,4.022482943701442,0.40297166527288186,0.4279252909020585
TCTN2,4.016188202095218,0.4038194479798614,0.42879714255459034
