gene,H_statistic,p_value,FDR
CRYBA4,2.8186449249886922,0.5886185722536685,0.6310974644293549
SOX10,2.8186449249886922,0.5886185722536685,0.6310974644293549
MIOX,2.8186449249886922,0.5886185722536685,0.6310974644293549
PCDH19,2.8186449249886922,0.5886185722536685,0.6310974644293549
CCT6B,2.80722033128455,0.5905869991702104,0.6331640108367278
ARL14,2.8013088863268214,0.5916067974140188,0.6342133231696387
COL12A1,2.797378179537873,0.5922853712350946,0.6348967164529934
NKX3-1,2.794419680820842,0.5927963597114059,0.635400385286225
CADM2,2.787444797673139,0.5940019032688186,0.6366278080858583
NR1I2,2.787124166917982,0.5940573499234586,0.6366278080858583
CHRM3,2.78707939786952,0.594065092031707,0.6366278080858583
FAP,2.7864382790873092,0.5941759688875983,0.6366448293380592
ESRRG,2.7860504868301197,0.5942430396228877,0.6366448293380592
CACNA1G,2.785707598420157,0.5943023470553132,0.6366448293380592
ESRP2,2.7856628135130164,0.5943100934544036,0.6366448293380592
GRB14,2.785342325485963,0.5943655293647618,0.6366448293380592
PDZD4,2.785342325485963,0.5943655293647618,0.6366448293380592
CRB2,2.7853199251030536,0.5943694041292799,0.6366448293380592
RNF186,2.780104214899979,0.5952719378377846,0.6375673583482332
CYP4F8,2.777729310972501,0.5956831135693391,0.6377293584664392
TNNI3,2.777729310972501,0.5956831135693391,0.6377293584664392
AIF1L,2.7776873673356826,0.5956903766527805,0.6377293584664392
TMPRSS3,2.7776454732542004,0.5956976311976447,0.6377293584664392
CREB3L3,2.777603638639122,0.5957048754875248,0.6377293584664392
KLK11,2.777603638639122,0.5957048754875248,0.6377293584664392
AKR1D1,2.77756185357938,0.5957121112385034,0.6377293584664392
HOXB-AS3,2.7769950162304315,0.5958102723661268,0.6377902534521981
DMTN,2.7699386428699895,0.5970328987598725,0.6390547501724136
ZBTB7C,2.7628573809812864,0.598261043441848,0.6402873468878021
CKMT1A,2.7628211847820783,0.5982673242521,0.6402873468878021
DPYSL5,2.7623111242566183,0.5983558339361523,0.6403257331538481
RAB3C,2.7621368542998215,0.5983860760474022,0.6403257331538481
SERTAD4-AS1,2.761303850307389,0.5985306422708145,0.6404074911817869
SVEP1,2.7612189676712178,0.5985453744195317,0.6404074911817869
