gene,H_statistic,p_value,FDR
AC012123.1,1.8339337119722028,0.607578566958167,0.6651457497721537
DNAH17,1.8338558433747958,0.6075953834125545,0.6651457497721537
TMEM51-AS1,1.8337001371341288,0.6076290105293212,0.6651457497721537
UCP3,1.8315238509062486,0.6080991369894568,0.6656140156655734
TMEM253,1.8295465682146674,0.6085264756621707,0.6659922821633544
TEKT4,1.829532710351977,0.608529471358219,0.6659922821633544
RHOF,1.8281807787749387,0.6088217677286023,0.6662657824401305
RASL12,1.8275485586194424,0.6089584885477923,0.6663690019507802
CATSPER3,1.8256258082116943,0.6093744133388541,0.6667777121794494
LINC00330,1.8250775764087124,0.6094930386824418,0.6668610829805942
ZNF2,1.822221486475085,0.6101112716427208,0.6674910369047685
ZFPL1,1.8139604521699695,0.6119017073649855,0.6694032599852509
FBF1,1.80825610906748,0.613139964065962,0.6707111905937677
KCNN4,1.8043405342239118,0.6139908426816116,0.6715952173986782
ARMC7,1.7991388068585783,0.6151223590031158,0.672786066816965
NDUFA4L2,1.7978165559283865,0.615410192943836,0.673054042609974
ANKRD34A,1.7908888976990955,0.6169196181324834,0.6746579026212587
ART5,1.7878572970462259,0.617580882407603,0.6753340626160512
CRYBB2,1.7872490141128827,0.6177136166402424,0.675432213116124
TSPAN33,1.7869090707362125,0.617787803885838,0.6754663368491604
B3GNT8,1.7863439738922422,0.6179111395893644,0.6755541892025356
ATPAF2,1.7836905009901967,0.6184904807003775,0.6761405394189715
CEACAM5,1.7831051697940121,0.6186183234004332,0.6762332594116442
NPIPB6,1.7824832922274303,0.6187541662293476,0.676334711118405
BCL2L14,1.779598049827773,0.6193846605889357,0.6769767943400594
TMEM30B,1.775783643725537,0.6202188111010387,0.677841365456462
FBXO15,1.7727042080076565,0.6208927424826816,0.6785307239314251
ASMT,1.7714894982162983,0.6211587049663154,0.6787741765575451
LRRC66,1.770375062370229,0.6214027742096091,0.6789108775135727
CDHR2,1.770375062370229,0.6214027742096091,0.6789108775135727
KLB,1.7703265566750301,0.6214133986404138,0.6789108775135727
AC093802.1,1.7695794688970021,0.6215770509548284,0.6790424671768445
MYO15A,1.7677834380330095,0.6219705868650542,0.6794251576542151
TMC4,1.7645943374615385,0.6226697423842795,0.680141622971319
SDC2,1.762450276386348,0.62314006264093,0.6806080495145498
DDX49,1.7586524430645691,0.6239736889563703,0.681471194971391
ASAH2,1.7568092504485138,0.6243785169761185,0.6818659421024723
ITPK1-AS1,1.75658716839843,0.6244273046299347,0.6818718398807708
DCBLD1,1.752310470231621,0.6253672773703958,0.6828085349411169
FPGS,1.752289079907352,0.6253719809075107,0.6828085349411169
DRAXIN,1.7511913648101787,0.6256133874274381,0.683024661119112
USP39,1.7431028074198496,0.6273939513195947,0.6849210432716554
STK31,1.7396051531634966,0.6281648552069867,0.6857150006552062
SERINC4,1.7326811889321747,0.6296926282588073,0.6873350010914999
RUNX3,1.7321285864757765,0.6298146565795328,0.687420455781925
CD180,1.731903971715845,0.629864261160527,0.6874268561388084
SFTPD,1.7311478396589708,0.6300312648781612,0.6875613748229416
AGAP2,1.7309181489596646,0.6300820009815746,0.687568999265826
PDZD3,1.7306386908268936,0.6301437334717279,0.6875886214845294
COBL,1.7299329131291685,0.6302996564528518,0.6877110108867689
SEC14L4,1.7292831306132137,0.6304432293029694,0.6878199091791368
ZNF30,1.7290230537514046,0.6305007001610483,0.687834860733794
IL10,1.728741947115815,0.6305628216472541,0.687854883390591
FAM50B,1.7271949227936674,0.6309047629220974,0.6881801259080845
MBD4,1.7243473229581991,0.6315344636101743,0.688764052834001
ZNF845,1.724265921817761,0.6315524696985644,0.688764052834001
TMLHE-AS1,1.7241795837914797,0.6315715681719769,0.688764052834001
SMKR1,1.7231392751560377,0.6318017177098729,0.6889672353266973
TRPM5,1.7226194167426097,0.631916745844781,0.6890448607296592
LCMT1,1.7192319251910324,0.6326665969842922,0.6896342588259048
PHYHD1,1.7192277307840258,0.6326675257829752,0.6896342588259048
PEBP4,1.7184609466867695,0.632837334167361,0.6896342588259048
CLNS1A,1.7172144514957686,0.6331134351914876,0.6896342588259048
FAM3B,1.7167441003852915,0.6332176375270191,0.6896342588259048
AARD,1.7141291176652884,0.6337971514625962,0.6896342588259048
MASP2,1.7136997521302701,0.6338923346017418,0.6896342588259048
ANGPTL7,1.7136997521302701,0.6338923346017418,0.6896342588259048
MDS2,1.7136997521302701,0.6338923346017418,0.6896342588259048
RGS18,1.7136997521302701,0.6338923346017418,0.6896342588259048
AC083949.1,1.7136997521302701,0.6338923346017418,0.6896342588259048
AOX1,1.7136997521302701,0.6338923346017418,0.6896342588259048
FAM160A1,1.7136997521302701,0.6338923346017418,0.6896342588259048
STK32A,1.7136997521302701,0.6338923346017418,0.6896342588259048
GRHL2,1.7136997521302701,0.6338923346017418,0.6896342588259048
PLA2G12B,1.7136997521302701,0.6338923346017418,0.6896342588259048
SLC6A12,1.7136997521302701,0.6338923346017418,0.6896342588259048
CLDN6,1.7136997521302701,0.6338923346017418,0.6896342588259048
KCNG2,1.7136997521302701,0.6338923346017418,0.6896342588259048
LGALS14,1.7136997521302701,0.6338923346017418,0.6896342588259048
TP53TG5,1.7136997521302701,0.6338923346017418,0.6896342588259048
TMEM232,1.7136312515495333,0.6339075208190632,0.6896342588259048
MT3,1.7133502880596305,0.6339698112084837,0.6896342588259048
HSF5,1.7133502880596305,0.6339698112084837,0.6896342588259048
C1QTNF1-AS1,1.7133502880596305,0.6339698112084837,0.6896342588259048
GCGR,1.7133502880596305,0.6339698112084837,0.6896342588259048
AC003956.1,1.7133502880596305,0.6339698112084837,0.6896342588259048
MAB21L3,1.7130008497549771,0.634047287738831,0.6896342588259048
UCN2,1.7130008497549771,0.634047287738831,0.6896342588259048
SLC6A19,1.7130008497549771,0.634047287738831,0.6896342588259048
TRGC2,1.7130008497549771,0.634047287738831,0.6896342588259048
CEND1,1.7130008497549771,0.634047287738831,0.6896342588259048
TM4SF20,1.7126514715709582,0.6341247565724835,0.6896342588259048
ANKRD31,1.7126514715709582,0.6341247565724835,0.6896342588259048
FOXD4,1.7126514715709582,0.6341247565724835,0.6896342588259048
LRRC10B,1.7126514715709582,0.6341247565724835,0.6896342588259048
OTOP2,1.7126514715709582,0.6341247565724835,0.6896342588259048
GNG8,1.7126514715709582,0.6341247565724835,0.6896342588259048
FMO5,1.7086035100920076,0.6350227353702167,0.6905630576445009
PLEKHA2,1.7076805984100354,0.6352275749448728,0.6907380175626943
PTK2B,1.6953432323337816,0.6379695975959581,0.6936716615343902
PILRA,1.686276899495549,0.6399890526785323,0.6958192979519762
POLL,1.6858088382846024,0.640093411091611,0.6958846187545489
PLEK,1.685508956624287,0.6401602775994122,0.6959091736011871
GID4,1.6840313809843053,0.6404898015011575,0.6962192364360349
ANKMY1,1.67564097603033,0.6423628735717528,0.6982069936408928
ZFP3,1.6752188665688639,0.6424571891216087,0.6982358505783347
GHR,1.6751244829846126,0.6424782791558474,0.6982358505783347
NTF3,1.6735815623657608,0.6428231019912698,0.6985622922759505
CCL7,1.6690308461361933,0.6438407515542242,0.6996198058097343
RAB36,1.66821598860303,0.6440230714000008,0.6997695374808084
DNAJB2,1.6659128804735996,0.6445385399005279,0.7002812093381747
COL23A1,1.6635677365911226,0.6450636604670055,0.7008032965504949
AP001412.1,1.6616868022339841,0.6454850135941603,0.7012125854458993
CD4,1.658987477388386,0.6460899722730706,0.7018212610066061
LINC00937,1.6560523806037366,0.6467481390714032,0.7024876462537959
ADAMTS14,1.6551901960172344,0.6469415483142074,0.7026491619423693
UBXN7-AS1,1.6494266031541518,0.6482353109939623,0.7040056767038291
ZNF846,1.648132761390286,0.6485259437642654,0.70422689441715
ARRDC5,1.6481208343893479,0.6485286232437906,0.70422689441715
ZKSCAN3,1.6443512508386187,0.6493757996267195,0.705098111574791
SLC8A1,1.6406611502604709,0.6502057192858723,0.7059504721448545
CXCR3,1.6375925707281163,0.6508963117465734,0.7066514531230415
MTCP1,1.634003531612359,0.6517045586182009,0.7074800610101295
TFAP2E,1.6327989611821527,0.6519759525463875,0.7076856396366273
TAS1R3,1.6326527596883922,0.6520088965665889,0.7076856396366273
TMEM134,1.6325634610388975,0.6520290189576459,0.7076856396366273
PDZK1,1.6323604025329586,0.6520747770782824,0.7076864302577368
IL20RA,1.6311915525413248,0.6523382060013672,0.707874559519263
DRD4,1.6311915525413248,0.6523382060013672,0.707874559519263
C6orf99,1.6307534665355299,0.6524369547465259,0.7079065035290326
GLIS1,1.6304614846303103,0.6525027748868393,0.7079065035290326
KLLN,1.6304614846303103,0.6525027748868393,0.7079065035290326
KCNK10,1.6297317805114884,0.6526672849809807,0.7080361048361353
WDR24,1.6289724745341745,0.6528384933696505,0.7081729542930306
ZNF57,1.6273405447583504,0.6532065459832925,0.708523298824862
MPV17L2,1.6256373768161445,0.6535907885738075,0.7088746446559937
SORT1,1.6255049424826897,0.653620671653729,0.7088746446559937
POLD2,1.623983013664144,0.6539641411681008,0.7091982088461132
PPP1R16A,1.6098722246508703,0.6571534364068952,0.7126077007224704
RAB39B,1.6053827298671837,0.6581699385969046,0.7136607392706605
GMDS,1.597603719287159,0.6599332822980946,0.7154888705693101
CEACAM1,1.5975267890497657,0.6599507336692192,0.7154888705693101
GALNT5,1.5973426690911292,0.659992501695297,0.7154888705693101
PLSCR2,1.5971201758378633,0.6600429767081439,0.7154942352010754
ZNF433,1.595941251149081,0.6603104636119785,0.7157348262725605
PAPPA,1.5956170156615748,0.6603840399158332,0.7157652118149817
TOMM40,1.595209034475397,0.6604766263230417,0.7158161960756446
A1CF,1.5932961294822343,0.6609108309737659,0.7161528144694397
SERGEF,1.5932246395318814,0.6609270612661489,0.7161528144694397
SLC9A2,1.5930403638346264,0.660968898190573,0.7161528144694397
ZDHHC15,1.5930377378363099,0.6609694943929258,0.7161528144694397
NCF2,1.592637023524062,0.6610604753281466,0.7161530286748684
SLC6A20,1.5924246079030173,0.6611087063837211,0.7161530286748684
CCDC40,1.5924033736446241,0.6611135279356819,0.7161530286748684
CD163,1.592234095556633,0.6611519657065199,0.7161530286748684
GPR150,1.5919780697401418,0.6612101034783457,0.7161641617745174
HECW1,1.5917874886699015,0.661253381999874,0.7161641617745174
GFI1,1.5915100848253634,0.6613163796020987,0.7161830362339155
AP4B1-AS1,1.5912922703099226,0.661365846918049,0.7161872562643188
C8orf48,1.5906065807763217,0.6615215852409784,0.7163043121724503
FARP1-AS1,1.59036094162429,0.6615773812472319,0.7163043121724503
CRYBA4,1.590214365245301,0.6616106767304204,0.7163043121724503
VSIG8,1.5882046555774747,0.6620672826029661,0.7167492879650214
LILRB3,1.5878705756990137,0.662143202007023,0.7167821024068312
MRPS25,1.5821976379345382,0.6634330885493109,0.7181289634025051
AP000442.1,1.5816603463040093,0.6635553253901516,0.7182118108699465
DDTL,1.5782363240435349,0.6643345930102373,0.7190057477962186
