gene,H_statistic,p_value,FDR
DDX6,1417.363522468041,1.1870945595629807e-305,4.1567025039472206e-304
CNN2,1414.989960874834,3.883030479140812e-305,1.3566174125663417e-303
EIF5A,1413.2574892485095,9.22233558830098e-305,3.214790389939805e-303
ID2,1405.57676254908,4.269000047257199e-303,1.4847906875773527e-301
PHYKPL,1405.2012869411,5.149247739719689e-303,1.7869498796745983e-301
CHD2,1402.5202898529253,1.963752276672758e-302,6.799656268470238e-301
TPT1,1400.9293895104092,4.3456437174479254e-302,1.5013716194480642e-300
LITAF,1400.2420709743744,6.124781793989038e-302,2.11135216299662e-300
RBM8A,1400.0471255178963,6.750906720248546e-302,2.322043070347437e-300
ANKRD28,1398.8583245600414,1.2221895305097301e-301,4.194565260669928e-300
TPI1,1397.1621574585165,2.850561404413969e-301,9.761603117714531e-300
CALR,1392.3577235617133,3.138384295169478e-300,1.0723617722417556e-298
DOCK10,1388.7334428095837,1.9168069667934493e-299,6.5352188405126665e-298
SYNGR2,1386.7773042890624,5.090227280602839e-299,1.7316797271670096e-297
JAK3,1383.9158337696501,2.1242315187849935e-298,7.21079201365727e-297
JUNB,1382.3391840958764,4.667374299659358e-298,1.5809078047233996e-296
CDK17,1381.6455647172425,6.59891460398502e-298,2.2302896814816328e-296
GPR65,1380.8579684441381,9.777989964557193e-298,3.297579392168561e-296
PITPNC1,1379.0160783175081,2.4526303865076308e-297,8.253472861262801e-296
SERPINB9,1378.4623260593041,3.233729612660929e-297,1.0858486887265544e-295
GYPC,1375.238296033109,1.6172511182121535e-296,5.418836882509558e-295
ATP8A1,1374.5195684307546,2.3153703910162332e-296,7.74130397185578e-295
IL26,1373.878441117046,3.1888726705751126e-296,1.0638927770264222e-294
CORO7,1371.219723400217,1.2026253721521645e-295,4.0036866511455466e-294
NOP58,1371.0089453044623,1.336083430777871e-295,4.43848057656059e-294
PPIB,1370.5590122141398,1.672603365703546e-295,5.5445553361605606e-294
